Date,open,high,low,close,volume,dividends,stock splits
2021-12-06 00:00:00-05:00,799.75,799.75,784.5,797.0,66,0.0,0.0
2021-12-07 00:00:00-05:00,811.0,812.0,796.0,799.25,74,0.0,0.0
2021-12-08 00:00:00-05:00,799.25,800.0,787.75,791.25,42,0.0,0.0
2021-12-09 00:00:00-05:00,793.5,793.5,773.5,773.5,64,0.0,0.0
2021-12-10 00:00:00-05:00,769.25,783.25,769.0,782.0,30,0.0,0.0
2021-12-13 00:00:00-05:00,779.25,791.0,779.25,785.5,69,0.0,0.0
2021-12-14 00:00:00-05:00,785.5,785.5,785.5,785.5,34152,0.0,0.0
2021-12-15 00:00:00-05:00,787.0,787.0,751.0,756.0,77464,0.0,0.0
2021-12-16 00:00:00-05:00,757.5,773.0,751.25,770.5,50771,0.0,0.0
2021-12-17 00:00:00-05:00,770.0,780.25,765.25,775.0,38053,0.0,0.0
2021-12-20 00:00:00-05:00,777.5,778.75,757.75,777.75,38677,0.0,0.0
2021-12-21 00:00:00-05:00,778.5,799.75,772.5,799.0,46149,0.0,0.0
2021-12-22 00:00:00-05:00,796.75,817.0,792.0,814.0,48743,0.0,0.0
2021-12-23 00:00:00-05:00,812.5,820.5,808.25,814.75,36615,0.0,0.0
2021-12-27 00:00:00-05:00,817.5,824.0,802.5,804.0,30210,0.0,0.0
2021-12-28 00:00:00-05:00,805.75,808.0,781.75,783.5,41877,0.0,0.0
2021-12-29 00:00:00-05:00,785.25,793.0,774.0,787.75,40941,0.0,0.0
2021-12-30 00:00:00-05:00,789.5,791.75,776.0,779.75,29563,0.0,0.0
2021-12-31 00:00:00-05:00,782.5,787.75,769.5,770.75,25055,0.0,0.0
2022-01-03 00:00:00-05:00,774.0,782.25,752.75,758.0,42116,0.0,0.0
2022-01-04 00:00:00-05:00,758.0,771.5,756.25,770.0,43220,0.0,0.0
2022-01-05 00:00:00-05:00,771.0,771.5,756.0,760.75,40236,0.0,0.0
2022-01-06 00:00:00-05:00,761.75,762.0,736.0,746.0,64426,0.0,0.0
2022-01-07 00:00:00-05:00,748.0,760.75,735.5,758.5,58463,0.0,0.0
2022-01-10 00:00:00-05:00,760.75,767.5,748.0,762.0,46681,0.0,0.0
2022-01-11 00:00:00-05:00,761.75,770.5,758.25,770.25,43837,0.0,0.0
2022-01-12 00:00:00-05:00,768.0,770.0,753.5,757.75,51640,0.0,0.0
2022-01-13 00:00:00-05:00,757.0,757.75,741.0,746.75,49455,0.0,0.0
2022-01-14 00:00:00-05:00,746.0,747.25,737.0,741.5,44592,0.0,0.0
2022-01-18 00:00:00-05:00,742.25,771.5,741.25,769.0,70559,0.0,0.0
2022-01-19 00:00:00-05:00,772.0,797.25,769.5,796.5,68427,0.0,0.0
2022-01-20 00:00:00-05:00,794.0,802.75,783.75,790.25,58576,0.0,0.0
2022-01-21 00:00:00-05:00,788.0,791.0,778.0,780.0,47700,0.0,0.0
2022-01-24 00:00:00-05:00,794.0,802.5,775.75,800.5,58617,0.0,0.0
2022-01-25 00:00:00-05:00,801.0,831.5,800.5,818.0,76139,0.0,0.0
2022-01-26 00:00:00-05:00,817.25,817.5,787.0,795.0,73390,0.0,0.0
2022-01-27 00:00:00-05:00,794.25,795.5,774.0,777.0,60147,0.0,0.0
2022-01-28 00:00:00-05:00,777.25,793.5,774.75,786.25,49080,0.0,0.0
2022-01-31 00:00:00-05:00,793.0,798.5,756.75,761.25,71473,0.0,0.0
2022-02-01 00:00:00-05:00,762.5,776.75,760.5,769.0,52159,0.0,0.0
2022-02-02 00:00:00-05:00,770.0,778.5,749.25,755.0,67578,0.0,0.0
2022-02-03 00:00:00-05:00,754.0,756.5,740.0,751.75,52592,0.0,0.0
2022-02-04 00:00:00-05:00,754.75,767.25,748.25,763.25,50585,0.0,0.0
2022-02-07 00:00:00-05:00,776.0,776.5,760.0,768.75,81449,0.0,0.0
2022-02-08 00:00:00-05:00,771.25,782.0,754.0,778.75,99517,0.0,0.0
2022-02-09 00:00:00-05:00,779.5,788.25,770.5,785.0,100108,0.0,0.0
2022-02-10 00:00:00-05:00,785.5,801.75,765.75,771.5,95102,0.0,0.0
2022-02-11 00:00:00-05:00,770.25,806.25,764.75,797.75,101599,0.0,0.0
2022-02-14 00:00:00-05:00,801.5,813.5,780.75,799.25,69676,0.0,0.0
2022-02-15 00:00:00-05:00,801.25,801.75,773.0,779.75,55714,0.0,0.0
2022-02-16 00:00:00-05:00,779.75,786.75,773.25,780.5,33006,0.0,0.0
2022-02-17 00:00:00-05:00,780.0,799.25,775.5,798.0,47683,0.0,0.0
2022-02-18 00:00:00-05:00,797.5,812.25,790.0,797.0,43499,0.0,0.0
2022-02-22 00:00:00-05:00,815.0,846.25,803.0,844.25,47217,0.0,0.0
2022-02-23 00:00:00-05:00,841.0,880.0,834.0,876.0,28032,0.0,0.0
2022-02-24 00:00:00-05:00,882.75,926.0,877.25,926.0,26655,0.0,0.0
2022-02-25 00:00:00-05:00,923.25,951.25,841.5,843.0,8868,0.0,0.0
2022-02-28 00:00:00-05:00,920.25,930.5,885.5,928.0,1092,0.0,0.0
2022-03-01 00:00:00-05:00,951.0,1004.5,951.0,1001.75,507,0.0,0.0
2022-03-02 00:00:00-05:00,1009.25,1132.0,997.5,1058.5,458,0.0,0.0
2022-03-03 00:00:00-05:00,1124.25,1289.0,1119.0,1289.0,374,0.0,0.0
2022-03-04 00:00:00-05:00,1340.0,1348.0,1201.5,1348.0,147,0.0,0.0
2022-03-07 00:00:00-05:00,1311.25,1425.25,1311.25,1425.25,79,0.0,0.0
2022-03-08 00:00:00-05:00,1319.25,1319.25,1273.0,1273.0,29,0.0,0.0
